"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-08-04
"20 - 24",2,1,8,0,11,2020-08-04
"25 - 29",0,1,16,2,19,2020-08-04
"30 - 34",1,1,33,3,38,2020-08-04
"35 - 39",2,1,33,6,42,2020-08-04
"40 - 44",2,2,54,5,63,2020-08-04
"45 - 49",5,1,136,18,160,2020-08-04
"50 - 54",9,2,218,23,252,2020-08-04
"55 - 59",10,4,291,74,379,2020-08-04
"60 - 64",15,6,331,101,453,2020-08-04
"65 - 69",11,5,311,184,511,2020-08-04
"70 - 74",16,7,303,231,557,2020-08-04
"75 - 79",8,7,145,166,326,2020-08-04
"80 - 84",3,2,19,45,69,2020-08-04
"85 - 89",1,1,4,10,16,2020-08-04
">90",0,0,0,0,0,2020-08-04
