"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,7,1,9,2020-09-23
"20 - 24",1,0,10,0,11,2020-09-23
"25 - 29",1,1,18,2,22,2020-09-23
"30 - 34",0,1,36,2,39,2020-09-23
"35 - 39",2,2,39,6,49,2020-09-23
"40 - 44",3,5,57,5,70,2020-09-23
"45 - 49",3,7,151,18,179,2020-09-23
"50 - 54",6,7,237,23,273,2020-09-23
"55 - 59",7,9,308,76,400,2020-09-23
"60 - 64",5,14,358,109,486,2020-09-23
"65 - 69",8,24,330,189,551,2020-09-23
"70 - 74",4,23,327,236,590,2020-09-23
"75 - 79",6,11,157,170,344,2020-09-23
"80 - 84",3,4,26,49,82,2020-09-23
"85 - 89",0,1,4,12,17,2020-09-23
">90",0,0,0,0,0,2020-09-23
