"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,2020-05-04
"20 - 24",4,2,3,0,9,2020-05-04
"25 - 29",5,3,6,2,16,2020-05-04
"30 - 34",8,7,14,1,30,2020-05-04
"35 - 39",13,6,15,3,37,2020-05-04
"40 - 44",21,9,23,3,56,2020-05-04
"45 - 49",34,30,69,16,149,2020-05-04
"50 - 54",72,56,85,18,231,2020-05-04
"55 - 59",97,88,106,62,353,2020-05-04
"60 - 64",132,121,103,82,438,2020-05-04
"65 - 69",100,118,120,150,488,2020-05-04
"70 - 74",96,134,110,195,535,2020-05-04
"75 - 79",59,52,52,146,309,2020-05-04
"80 - 84",12,5,5,38,60,2020-05-04
"85 - 89",2,0,1,7,10,2020-05-04
">90",1,0,1,0,2,2020-05-04
