"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,20,3,24,2021-07-11
"20 - 24",3,1,46,0,50,2021-07-11
"25 - 29",0,1,94,6,101,2021-07-11
"30 - 34",0,2,166,6,174,2021-07-11
"35 - 39",0,1,196,14,211,2021-07-11
"40 - 44",2,4,299,26,331,2021-07-11
"45 - 49",7,5,577,65,654,2021-07-11
"50 - 54",12,13,992,141,1158,2021-07-11
"55 - 59",17,12,1368,248,1645,2021-07-11
"60 - 64",8,13,1479,451,1951,2021-07-11
"65 - 69",11,17,1479,717,2224,2021-07-11
"70 - 74",15,14,1313,991,2333,2021-07-11
"75 - 79",8,2,652,684,1346,2021-07-11
"80 - 84",0,1,139,228,368,2021-07-11
"85 - 89",0,0,17,37,54,2021-07-11
">90",0,0,4,2,6,2021-07-11
