"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-11
"20 - 24",2,2,7,0,11,2020-06-11
"25 - 29",5,0,10,2,17,2020-06-11
"30 - 34",9,0,23,3,35,2020-06-11
"35 - 39",7,1,27,6,41,2020-06-11
"40 - 44",6,4,44,3,57,2020-06-11
"45 - 49",19,4,119,20,162,2020-06-11
"50 - 54",43,11,176,24,254,2020-06-11
"55 - 59",49,14,234,74,371,2020-06-11
"60 - 64",73,14,265,98,450,2020-06-11
"65 - 69",52,20,255,177,504,2020-06-11
"70 - 74",61,27,244,221,553,2020-06-11
"75 - 79",36,13,108,161,318,2020-06-11
"80 - 84",4,2,16,42,64,2020-06-11
"85 - 89",1,0,4,9,14,2020-06-11
">90",0,0,0,0,0,2020-06-11
