"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,20,3,24,2021-07-05
"20 - 24",3,0,45,0,48,2021-07-05
"25 - 29",0,1,94,6,101,2021-07-05
"30 - 34",2,2,164,6,174,2021-07-05
"35 - 39",2,3,192,14,211,2021-07-05
"40 - 44",5,5,294,26,330,2021-07-05
"45 - 49",12,6,570,65,653,2021-07-05
"50 - 54",23,11,980,140,1154,2021-07-05
"55 - 59",21,21,1357,247,1646,2021-07-05
"60 - 64",13,20,1471,449,1953,2021-07-05
"65 - 69",18,21,1472,713,2224,2021-07-05
"70 - 74",21,17,1306,990,2334,2021-07-05
"75 - 79",8,4,649,683,1344,2021-07-05
"80 - 84",0,1,139,228,368,2021-07-05
"85 - 89",0,0,17,37,54,2021-07-05
">90",0,0,4,2,6,2021-07-05
