"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-17
"20 - 24",2,0,20,0,22,2020-12-17
"25 - 29",7,3,29,2,41,2020-12-17
"30 - 34",3,4,67,3,77,2020-12-17
"35 - 39",7,3,63,9,82,2020-12-17
"40 - 44",7,6,101,11,125,2020-12-17
"45 - 49",17,8,236,31,292,2020-12-17
"50 - 54",27,37,372,52,488,2020-12-17
"55 - 59",54,64,485,110,713,2020-12-17
"60 - 64",50,90,573,198,911,2020-12-17
"65 - 69",48,118,529,317,1012,2020-12-17
"70 - 74",59,130,530,435,1154,2020-12-17
"75 - 79",27,69,273,352,721,2020-12-17
"80 - 84",16,14,63,138,231,2020-12-17
"85 - 89",3,0,7,24,34,2020-12-17
">90",1,0,1,2,4,2020-12-17
