"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-08-01
"20 - 24",3,1,7,0,11,2020-08-01
"25 - 29",1,0,16,2,19,2020-08-01
"30 - 34",1,1,33,3,38,2020-08-01
"35 - 39",2,1,33,6,42,2020-08-01
"40 - 44",2,4,53,5,64,2020-08-01
"45 - 49",6,0,136,19,161,2020-08-01
"50 - 54",12,2,216,23,253,2020-08-01
"55 - 59",12,3,289,75,379,2020-08-01
"60 - 64",18,5,328,100,451,2020-08-01
"65 - 69",11,3,311,185,510,2020-08-01
"70 - 74",17,6,303,229,555,2020-08-01
"75 - 79",9,6,144,165,324,2020-08-01
"80 - 84",3,3,19,45,70,2020-08-01
"85 - 89",1,0,4,10,15,2020-08-01
">90",0,0,0,0,0,2020-08-01
