"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-24
"20 - 24",5,1,11,0,17,2020-10-24
"25 - 29",1,1,23,2,27,2020-10-24
"30 - 34",2,3,45,2,52,2020-10-24
"35 - 39",5,5,44,7,61,2020-10-24
"40 - 44",6,11,71,8,96,2020-10-24
"45 - 49",14,19,173,20,226,2020-10-24
"50 - 54",12,38,265,29,344,2020-10-24
"55 - 59",22,45,342,81,490,2020-10-24
"60 - 64",27,87,385,121,620,2020-10-24
"65 - 69",37,91,366,208,702,2020-10-24
"70 - 74",24,108,356,273,761,2020-10-24
"75 - 79",23,69,181,211,484,2020-10-24
"80 - 84",16,19,31,66,132,2020-10-24
"85 - 89",0,1,5,18,24,2020-10-24
">90",0,0,0,0,0,2020-10-24
