"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,10,1,15,2021-01-15
"20 - 24",1,1,24,0,26,2021-01-15
"25 - 29",2,3,41,2,48,2021-01-15
"30 - 34",6,2,75,3,86,2021-01-15
"35 - 39",6,6,77,9,98,2021-01-15
"40 - 44",6,8,117,13,144,2021-01-15
"45 - 49",16,30,271,34,351,2021-01-15
"50 - 54",32,49,436,73,590,2021-01-15
"55 - 59",49,88,608,128,873,2021-01-15
"60 - 64",66,117,690,243,1116,2021-01-15
"65 - 69",67,143,648,376,1234,2021-01-15
"70 - 74",69,163,646,551,1429,2021-01-15
"75 - 79",45,71,335,426,877,2021-01-15
"80 - 84",6,9,86,160,261,2021-01-15
"85 - 89",1,1,11,29,42,2021-01-15
">90",0,0,2,2,4,2021-01-15
