"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,16,2,20,2021-03-27
"20 - 24",3,0,32,0,35,2021-03-27
"25 - 29",0,3,63,3,69,2021-03-27
"30 - 34",9,4,102,3,118,2021-03-27
"35 - 39",5,13,115,12,145,2021-03-27
"40 - 44",13,17,174,17,221,2021-03-27
"45 - 49",24,23,378,44,469,2021-03-27
"50 - 54",35,54,637,100,826,2021-03-27
"55 - 59",61,87,890,174,1212,2021-03-27
"60 - 64",76,109,1034,332,1551,2021-03-27
"65 - 69",66,131,968,505,1670,2021-03-27
"70 - 74",63,114,900,745,1822,2021-03-27
"75 - 79",36,71,490,542,1139,2021-03-27
"80 - 84",9,5,116,198,328,2021-03-27
"85 - 89",2,0,15,33,50,2021-03-27
">90",0,0,3,2,5,2021-03-27
