"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-10
"20 - 24",2,0,11,0,13,2020-10-10
"25 - 29",1,0,22,2,25,2020-10-10
"30 - 34",2,1,39,2,44,2020-10-10
"35 - 39",4,4,41,7,56,2020-10-10
"40 - 44",6,7,65,6,84,2020-10-10
"45 - 49",9,12,162,19,202,2020-10-10
"50 - 54",12,17,247,27,303,2020-10-10
"55 - 59",10,24,322,80,436,2020-10-10
"60 - 64",13,38,365,114,530,2020-10-10
"65 - 69",20,46,340,197,603,2020-10-10
"70 - 74",18,55,337,246,656,2020-10-10
"75 - 79",11,38,168,182,399,2020-10-10
"80 - 84",2,9,29,53,93,2020-10-10
"85 - 89",1,0,5,15,21,2020-10-10
">90",0,0,0,0,0,2020-10-10
