"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-06-24
"20 - 24",2,2,7,0,11,2020-06-24
"25 - 29",2,0,13,2,17,2020-06-24
"30 - 34",1,0,31,3,35,2020-06-24
"35 - 39",0,1,34,6,41,2020-06-24
"40 - 44",0,4,50,5,59,2020-06-24
"45 - 49",8,1,131,20,160,2020-06-24
"50 - 54",20,2,209,24,255,2020-06-24
"55 - 59",25,9,265,76,375,2020-06-24
"60 - 64",28,6,315,100,449,2020-06-24
"65 - 69",18,18,293,182,511,2020-06-24
"70 - 74",27,14,288,226,555,2020-06-24
"75 - 79",17,11,131,164,323,2020-06-24
"80 - 84",2,0,18,43,63,2020-06-24
"85 - 89",1,0,4,9,14,2020-06-24
">90",0,0,0,0,0,2020-06-24
