"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,5,9,1,16,2020-11-04
"20 - 24",4,2,15,0,21,2020-11-04
"25 - 29",3,2,24,2,31,2020-11-04
"30 - 34",5,2,48,2,57,2020-11-04
"35 - 39",5,3,50,8,66,2020-11-04
"40 - 44",8,9,78,8,103,2020-11-04
"45 - 49",23,18,185,22,248,2020-11-04
"50 - 54",27,46,282,32,387,2020-11-04
"55 - 59",34,71,368,86,559,2020-11-04
"60 - 64",44,117,415,134,710,2020-11-04
"65 - 69",49,106,402,223,780,2020-11-04
"70 - 74",42,147,375,307,871,2020-11-04
"75 - 79",30,74,199,241,544,2020-11-04
"80 - 84",15,31,36,81,163,2020-11-04
"85 - 89",1,0,5,18,24,2020-11-04
">90",1,1,0,1,3,2020-11-04
