"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-04-27
"20 - 24",3,1,35,0,39,2021-04-27
"25 - 29",2,2,74,4,82,2021-04-27
"30 - 34",15,9,122,4,150,2021-04-27
"35 - 39",13,15,148,13,189,2021-04-27
"40 - 44",13,12,225,21,271,2021-04-27
"45 - 49",27,29,445,51,552,2021-04-27
"50 - 54",68,71,745,115,999,2021-04-27
"55 - 59",77,107,1031,204,1419,2021-04-27
"60 - 64",79,120,1190,395,1784,2021-04-27
"65 - 69",92,187,1140,586,2005,2021-04-27
"70 - 74",99,177,1017,842,2135,2021-04-27
"75 - 79",36,80,551,603,1270,2021-04-27
"80 - 84",9,7,126,215,357,2021-04-27
"85 - 89",1,1,16,33,51,2021-04-27
">90",0,0,4,2,6,2021-04-27
