"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,8,1,10,2020-05-27
"20 - 24",2,1,7,0,10,2020-05-27
"25 - 29",5,1,8,2,16,2020-05-27
"30 - 34",8,2,21,1,32,2020-05-27
"35 - 39",9,1,25,6,41,2020-05-27
"40 - 44",10,4,39,3,56,2020-05-27
"45 - 49",26,7,104,20,157,2020-05-27
"50 - 54",47,17,157,22,243,2020-05-27
"55 - 59",57,26,209,75,367,2020-05-27
"60 - 64",91,28,231,96,446,2020-05-27
"65 - 69",68,38,221,173,500,2020-05-27
"70 - 74",69,43,221,213,546,2020-05-27
"75 - 79",34,19,100,159,312,2020-05-27
"80 - 84",7,5,12,40,64,2020-05-27
"85 - 89",2,0,3,7,12,2020-05-27
">90",0,0,1,0,1,2020-05-27
