"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-08-22
"20 - 24",2,1,9,0,12,2020-08-22
"25 - 29",1,0,17,2,20,2020-08-22
"30 - 34",1,1,33,3,38,2020-08-22
"35 - 39",3,2,35,6,46,2020-08-22
"40 - 44",1,2,55,5,63,2020-08-22
"45 - 49",6,3,140,18,167,2020-08-22
"50 - 54",7,7,223,22,259,2020-08-22
"55 - 59",7,6,297,74,384,2020-08-22
"60 - 64",15,10,336,103,464,2020-08-22
"65 - 69",11,11,316,188,526,2020-08-22
"70 - 74",14,6,314,232,566,2020-08-22
"75 - 79",11,3,146,165,325,2020-08-22
"80 - 84",4,2,20,49,75,2020-08-22
"85 - 89",1,0,4,10,15,2020-08-22
">90",1,0,0,0,1,2020-08-22
