"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-19
"20 - 24",2,0,20,0,22,2020-12-19
"25 - 29",6,3,30,2,41,2020-12-19
"30 - 34",2,5,68,3,78,2020-12-19
"35 - 39",6,4,64,9,83,2020-12-19
"40 - 44",8,6,101,11,126,2020-12-19
"45 - 49",15,12,239,31,297,2020-12-19
"50 - 54",29,39,377,52,497,2020-12-19
"55 - 59",52,65,494,112,723,2020-12-19
"60 - 64",51,96,576,199,922,2020-12-19
"65 - 69",43,123,535,319,1020,2020-12-19
"70 - 74",62,132,541,439,1174,2020-12-19
"75 - 79",29,71,274,355,729,2020-12-19
"80 - 84",18,15,63,138,234,2020-12-19
"85 - 89",2,0,7,26,35,2020-12-19
">90",1,0,1,2,4,2020-12-19
