"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,7,1,10,2020-10-02
"20 - 24",1,1,11,0,13,2020-10-02
"25 - 29",2,1,20,2,25,2020-10-02
"30 - 34",1,2,37,2,42,2020-10-02
"35 - 39",4,5,40,6,55,2020-10-02
"40 - 44",7,5,61,5,78,2020-10-02
"45 - 49",6,11,155,18,190,2020-10-02
"50 - 54",7,14,240,24,285,2020-10-02
"55 - 59",9,13,315,77,414,2020-10-02
"60 - 64",6,21,361,110,498,2020-10-02
"65 - 69",14,34,333,194,575,2020-10-02
"70 - 74",9,36,334,242,621,2020-10-02
"75 - 79",10,22,164,176,372,2020-10-02
"80 - 84",2,5,27,51,85,2020-10-02
"85 - 89",1,0,4,13,18,2020-10-02
">90",0,1,0,0,1,2020-10-02
