"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,10,1,11,2020-06-28
"20 - 24",3,1,7,0,11,2020-06-28
"25 - 29",2,0,13,2,17,2020-06-28
"30 - 34",1,0,31,3,35,2020-06-28
"35 - 39",1,1,34,6,42,2020-06-28
"40 - 44",0,4,50,5,59,2020-06-28
"45 - 49",8,2,131,20,161,2020-06-28
"50 - 54",20,2,210,24,256,2020-06-28
"55 - 59",22,10,268,76,376,2020-06-28
"60 - 64",26,4,318,100,448,2020-06-28
"65 - 69",21,10,295,183,509,2020-06-28
"70 - 74",27,11,289,227,554,2020-06-28
"75 - 79",18,9,132,165,324,2020-06-28
"80 - 84",2,1,18,43,64,2020-06-28
"85 - 89",1,0,4,9,14,2020-06-28
">90",0,0,0,0,0,2020-06-28
