"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,14,2,17,2021-02-19
"20 - 24",4,0,27,0,31,2021-02-19
"25 - 29",1,3,51,3,58,2021-02-19
"30 - 34",2,2,89,3,96,2021-02-19
"35 - 39",1,4,92,11,108,2021-02-19
"40 - 44",9,6,138,16,169,2021-02-19
"45 - 49",21,24,324,40,409,2021-02-19
"50 - 54",35,35,525,88,683,2021-02-19
"55 - 59",56,71,734,153,1014,2021-02-19
"60 - 64",60,108,869,290,1327,2021-02-19
"65 - 69",65,102,815,451,1433,2021-02-19
"70 - 74",64,103,777,671,1615,2021-02-19
"75 - 79",29,43,416,483,971,2021-02-19
"80 - 84",8,8,100,180,296,2021-02-19
"85 - 89",1,0,15,31,47,2021-02-19
">90",0,0,3,2,5,2021-02-19
