"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,18,2,21,2021-04-25
"20 - 24",2,2,35,0,39,2021-04-25
"25 - 29",0,4,74,4,82,2021-04-25
"30 - 34",15,11,119,4,149,2021-04-25
"35 - 39",12,17,144,13,186,2021-04-25
"40 - 44",13,12,223,21,269,2021-04-25
"45 - 49",36,28,432,51,547,2021-04-25
"50 - 54",63,74,739,113,989,2021-04-25
"55 - 59",83,106,1019,204,1412,2021-04-25
"60 - 64",80,122,1173,389,1764,2021-04-25
"65 - 69",87,198,1120,581,1986,2021-04-25
"70 - 74",91,173,1008,836,2108,2021-04-25
"75 - 79",34,78,548,600,1260,2021-04-25
"80 - 84",8,8,125,214,355,2021-04-25
"85 - 89",2,1,16,33,52,2021-04-25
">90",0,0,4,2,6,2021-04-25
