"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-03
"20 - 24",3,2,41,0,46,2021-06-03
"25 - 29",5,2,87,6,100,2021-06-03
"30 - 34",2,4,159,5,170,2021-06-03
"35 - 39",11,6,178,14,209,2021-06-03
"40 - 44",16,9,275,25,325,2021-06-03
"45 - 49",23,23,535,61,642,2021-06-03
"50 - 54",47,51,912,132,1142,2021-06-03
"55 - 59",58,58,1267,230,1613,2021-06-03
"60 - 64",48,50,1398,444,1940,2021-06-03
"65 - 69",55,96,1375,687,2213,2021-06-03
"70 - 74",68,67,1231,961,2327,2021-06-03
"75 - 79",22,23,624,671,1340,2021-06-03
"80 - 84",3,0,136,228,367,2021-06-03
"85 - 89",0,0,17,36,53,2021-06-03
">90",0,0,4,2,6,2021-06-03
