"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-17
"20 - 24",2,1,11,0,14,2020-10-17
"25 - 29",1,1,22,2,26,2020-10-17
"30 - 34",5,1,40,2,48,2020-10-17
"35 - 39",3,5,43,7,58,2020-10-17
"40 - 44",6,7,67,7,87,2020-10-17
"45 - 49",10,12,168,19,209,2020-10-17
"50 - 54",12,29,253,29,323,2020-10-17
"55 - 59",21,32,329,80,462,2020-10-17
"60 - 64",17,58,374,116,565,2020-10-17
"65 - 69",24,65,349,202,640,2020-10-17
"70 - 74",17,87,350,253,707,2020-10-17
"75 - 79",9,55,178,194,436,2020-10-17
"80 - 84",9,20,30,60,119,2020-10-17
"85 - 89",0,0,5,17,22,2020-10-17
">90",0,0,0,0,0,2020-10-17
