"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,15,2,18,2021-03-06
"20 - 24",3,0,30,0,33,2021-03-06
"25 - 29",4,2,55,3,64,2021-03-06
"30 - 34",6,6,90,3,105,2021-03-06
"35 - 39",5,9,98,11,123,2021-03-06
"40 - 44",6,9,157,17,189,2021-03-06
"45 - 49",23,24,345,43,435,2021-03-06
"50 - 54",27,40,574,94,735,2021-03-06
"55 - 59",55,82,798,163,1098,2021-03-06
"60 - 64",64,110,940,300,1414,2021-03-06
"65 - 69",68,107,869,471,1515,2021-03-06
"70 - 74",59,105,834,698,1696,2021-03-06
"75 - 79",36,43,447,506,1032,2021-03-06
"80 - 84",8,9,106,188,311,2021-03-06
"85 - 89",1,0,15,31,47,2021-03-06
">90",0,0,3,2,5,2021-03-06
