"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,12,1,16,2021-01-29
"20 - 24",3,1,24,0,28,2021-01-29
"25 - 29",2,4,43,3,52,2021-01-29
"30 - 34",6,3,80,3,92,2021-01-29
"35 - 39",8,7,79,10,104,2021-01-29
"40 - 44",5,8,125,14,152,2021-01-29
"45 - 49",15,29,298,36,378,2021-01-29
"50 - 54",22,45,475,80,622,2021-01-29
"55 - 59",60,80,653,140,933,2021-01-29
"60 - 64",71,120,762,260,1213,2021-01-29
"65 - 69",70,140,708,413,1331,2021-01-29
"70 - 74",70,146,693,608,1517,2021-01-29
"75 - 79",37,52,378,454,921,2021-01-29
"80 - 84",9,13,92,165,279,2021-01-29
"85 - 89",2,0,13,31,46,2021-01-29
">90",1,0,2,2,5,2021-01-29
