"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,12,1,16,2021-01-30
"20 - 24",3,1,24,0,28,2021-01-30
"25 - 29",2,5,43,3,53,2021-01-30
"30 - 34",8,1,80,3,92,2021-01-30
"35 - 39",7,6,80,10,103,2021-01-30
"40 - 44",5,8,125,14,152,2021-01-30
"45 - 49",15,29,298,36,378,2021-01-30
"50 - 54",24,46,475,80,625,2021-01-30
"55 - 59",58,78,660,140,936,2021-01-30
"60 - 64",67,116,770,262,1215,2021-01-30
"65 - 69",65,139,714,417,1335,2021-01-30
"70 - 74",75,139,693,610,1517,2021-01-30
"75 - 79",40,47,378,456,921,2021-01-30
"80 - 84",10,11,92,167,280,2021-01-30
"85 - 89",2,0,13,31,46,2021-01-30
">90",1,0,2,2,5,2021-01-30
