"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-02
"20 - 24",2,1,37,0,40,2021-05-02
"25 - 29",2,4,75,4,85,2021-05-02
"30 - 34",12,10,129,4,155,2021-05-02
"35 - 39",17,11,150,13,191,2021-05-02
"40 - 44",13,16,232,21,282,2021-05-02
"45 - 49",33,39,450,52,574,2021-05-02
"50 - 54",47,71,781,121,1020,2021-05-02
"55 - 59",92,106,1057,208,1463,2021-05-02
"60 - 64",82,118,1217,403,1820,2021-05-02
"65 - 69",97,171,1181,603,2052,2021-05-02
"70 - 74",97,186,1046,859,2188,2021-05-02
"75 - 79",36,73,564,615,1288,2021-05-02
"80 - 84",9,4,128,217,358,2021-05-02
"85 - 89",1,0,16,34,51,2021-05-02
">90",0,0,4,2,6,2021-05-02
