"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-12
"20 - 24",1,1,10,0,12,2020-09-12
"25 - 29",0,0,18,2,20,2020-09-12
"30 - 34",0,0,35,2,37,2020-09-12
"35 - 39",3,1,37,6,47,2020-09-12
"40 - 44",1,5,55,5,66,2020-09-12
"45 - 49",1,3,149,18,171,2020-09-12
"50 - 54",10,6,230,23,269,2020-09-12
"55 - 59",5,4,305,75,389,2020-09-12
"60 - 64",8,3,351,108,470,2020-09-12
"65 - 69",10,7,322,191,530,2020-09-12
"70 - 74",6,10,326,234,576,2020-09-12
"75 - 79",2,10,154,168,334,2020-09-12
"80 - 84",4,0,22,50,76,2020-09-12
"85 - 89",0,1,4,11,16,2020-09-12
">90",0,0,0,0,0,2020-09-12
