"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-04-29
"20 - 24",4,1,35,0,40,2021-04-29
"25 - 29",3,4,74,4,85,2021-04-29
"30 - 34",14,11,125,4,154,2021-04-29
"35 - 39",14,14,149,13,190,2021-04-29
"40 - 44",15,15,226,21,277,2021-04-29
"45 - 49",33,30,446,51,560,2021-04-29
"50 - 54",62,63,762,119,1006,2021-04-29
"55 - 59",83,110,1042,204,1439,2021-04-29
"60 - 64",76,120,1204,400,1800,2021-04-29
"65 - 69",95,180,1158,594,2027,2021-04-29
"70 - 74",99,177,1032,848,2156,2021-04-29
"75 - 79",33,77,560,607,1277,2021-04-29
"80 - 84",9,5,126,216,356,2021-04-29
"85 - 89",1,2,16,33,52,2021-04-29
">90",0,0,4,2,6,2021-04-29
