"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,9,1,11,2020-06-19
"20 - 24",2,2,7,0,11,2020-06-19
"25 - 29",4,0,11,2,17,2020-06-19
"30 - 34",8,0,24,3,35,2020-06-19
"35 - 39",4,1,30,6,41,2020-06-19
"40 - 44",4,5,46,4,59,2020-06-19
"45 - 49",18,1,122,20,161,2020-06-19
"50 - 54",42,4,186,23,255,2020-06-19
"55 - 59",47,11,241,75,374,2020-06-19
"60 - 64",61,7,281,100,449,2020-06-19
"65 - 69",38,19,272,180,509,2020-06-19
"70 - 74",57,14,259,224,554,2020-06-19
"75 - 79",30,15,114,162,321,2020-06-19
"80 - 84",4,1,16,42,63,2020-06-19
"85 - 89",2,0,4,9,15,2020-06-19
">90",0,0,0,0,0,2020-06-19
