"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,19,3,22,2021-05-20
"20 - 24",2,0,40,0,42,2021-05-20
"25 - 29",3,5,81,6,95,2021-05-20
"30 - 34",8,7,150,5,170,2021-05-20
"35 - 39",18,7,164,14,203,2021-05-20
"40 - 44",18,15,260,24,317,2021-05-20
"45 - 49",37,34,498,54,623,2021-05-20
"50 - 54",46,63,860,129,1098,2021-05-20
"55 - 59",82,95,1182,222,1581,2021-05-20
"60 - 64",78,91,1316,430,1915,2021-05-20
"65 - 69",83,132,1309,656,2180,2021-05-20
"70 - 74",79,131,1168,933,2311,2021-05-20
"75 - 79",35,38,600,653,1326,2021-05-20
"80 - 84",5,2,133,222,362,2021-05-20
"85 - 89",1,0,17,35,53,2021-05-20
">90",0,0,4,2,6,2021-05-20
