"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,16,2,19,2021-03-18
"20 - 24",3,0,31,0,34,2021-03-18
"25 - 29",1,0,60,3,64,2021-03-18
"30 - 34",5,6,97,3,111,2021-03-18
"35 - 39",5,12,109,11,137,2021-03-18
"40 - 44",4,9,170,17,200,2021-03-18
"45 - 49",19,20,364,44,447,2021-03-18
"50 - 54",42,41,600,96,779,2021-03-18
"55 - 59",66,74,850,169,1159,2021-03-18
"60 - 64",80,112,986,322,1500,2021-03-18
"65 - 69",73,112,926,489,1600,2021-03-18
"70 - 74",57,102,875,726,1760,2021-03-18
"75 - 79",36,58,473,526,1093,2021-03-18
"80 - 84",10,6,109,196,321,2021-03-18
"85 - 89",1,0,15,32,48,2021-03-18
">90",0,0,3,2,5,2021-03-18
