"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-26
"20 - 24",3,0,40,0,43,2021-05-26
"25 - 29",5,4,84,6,99,2021-05-26
"30 - 34",5,4,155,5,169,2021-05-26
"35 - 39",17,9,168,14,208,2021-05-26
"40 - 44",20,10,266,24,320,2021-05-26
"45 - 49",33,33,514,55,635,2021-05-26
"50 - 54",52,61,880,130,1123,2021-05-26
"55 - 59",76,94,1210,224,1604,2021-05-26
"60 - 64",65,78,1348,441,1932,2021-05-26
"65 - 69",77,112,1335,672,2196,2021-05-26
"70 - 74",79,108,1188,950,2325,2021-05-26
"75 - 79",29,38,609,659,1335,2021-05-26
"80 - 84",5,1,134,225,365,2021-05-26
"85 - 89",0,0,17,36,53,2021-05-26
">90",0,0,4,2,6,2021-05-26
