"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,13,2,16,2021-02-10
"20 - 24",3,1,26,0,30,2021-02-10
"25 - 29",5,4,45,3,57,2021-02-10
"30 - 34",7,1,82,3,93,2021-02-10
"35 - 39",5,0,88,11,104,2021-02-10
"40 - 44",7,7,129,15,158,2021-02-10
"45 - 49",19,25,311,38,393,2021-02-10
"50 - 54",29,46,499,83,657,2021-02-10
"55 - 59",54,77,699,146,976,2021-02-10
"60 - 64",61,94,832,278,1265,2021-02-10
"65 - 69",63,111,775,440,1389,2021-02-10
"70 - 74",84,101,728,651,1564,2021-02-10
"75 - 79",28,46,406,473,953,2021-02-10
"80 - 84",9,8,97,176,290,2021-02-10
"85 - 89",2,0,14,31,47,2021-02-10
">90",0,0,3,2,5,2021-02-10
