"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,19,3,23,2021-06-22
"20 - 24",2,1,45,0,48,2021-06-22
"25 - 29",1,0,93,6,100,2021-06-22
"30 - 34",2,2,161,6,171,2021-06-22
"35 - 39",7,2,187,14,210,2021-06-22
"40 - 44",9,6,291,25,331,2021-06-22
"45 - 49",15,12,560,63,650,2021-06-22
"50 - 54",27,24,965,137,1153,2021-06-22
"55 - 59",32,34,1334,243,1643,2021-06-22
"60 - 64",21,30,1452,447,1950,2021-06-22
"65 - 69",39,34,1436,709,2218,2021-06-22
"70 - 74",32,29,1288,983,2332,2021-06-22
"75 - 79",11,9,642,681,1343,2021-06-22
"80 - 84",2,1,137,228,368,2021-06-22
"85 - 89",0,0,17,37,54,2021-06-22
">90",0,0,4,2,6,2021-06-22
