"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,9,1,13,2021-01-08
"20 - 24",3,0,21,0,24,2021-01-08
"25 - 29",2,1,40,2,45,2021-01-08
"30 - 34",2,5,74,3,84,2021-01-08
"35 - 39",8,4,74,9,95,2021-01-08
"40 - 44",8,6,114,12,140,2021-01-08
"45 - 49",25,25,257,34,341,2021-01-08
"50 - 54",34,46,420,69,569,2021-01-08
"55 - 59",58,82,580,124,844,2021-01-08
"60 - 64",57,121,659,235,1072,2021-01-08
"65 - 69",71,139,610,363,1183,2021-01-08
"70 - 74",61,173,621,517,1372,2021-01-08
"75 - 79",41,86,318,408,853,2021-01-08
"80 - 84",7,13,82,154,256,2021-01-08
"85 - 89",1,1,11,28,41,2021-01-08
">90",0,0,2,2,4,2021-01-08
