"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,7,1,10,2020-10-03
"20 - 24",1,1,11,0,13,2020-10-03
"25 - 29",2,0,20,2,24,2020-10-03
"30 - 34",1,2,37,2,42,2020-10-03
"35 - 39",4,3,40,6,53,2020-10-03
"40 - 44",7,5,61,5,78,2020-10-03
"45 - 49",6,13,155,18,192,2020-10-03
"50 - 54",7,15,240,24,286,2020-10-03
"55 - 59",9,13,316,77,415,2020-10-03
"60 - 64",6,22,361,110,499,2020-10-03
"65 - 69",15,32,333,195,575,2020-10-03
"70 - 74",10,34,334,242,620,2020-10-03
"75 - 79",12,25,164,177,378,2020-10-03
"80 - 84",2,6,27,51,86,2020-10-03
"85 - 89",1,0,4,13,18,2020-10-03
">90",0,1,0,0,1,2020-10-03
