"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-08-24
"20 - 24",2,1,9,0,12,2020-08-24
"25 - 29",0,0,18,2,20,2020-08-24
"30 - 34",1,1,33,3,38,2020-08-24
"35 - 39",4,1,36,6,47,2020-08-24
"40 - 44",1,2,55,5,63,2020-08-24
"45 - 49",5,3,141,18,167,2020-08-24
"50 - 54",7,9,223,22,261,2020-08-24
"55 - 59",7,6,297,74,384,2020-08-24
"60 - 64",16,12,336,103,467,2020-08-24
"65 - 69",12,11,316,188,527,2020-08-24
"70 - 74",15,7,315,232,569,2020-08-24
"75 - 79",11,2,146,165,324,2020-08-24
"80 - 84",4,2,20,49,75,2020-08-24
"85 - 89",1,0,4,10,15,2020-08-24
">90",0,0,0,0,0,2020-08-24
