"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,17,2,20,2021-04-11
"20 - 24",2,0,34,0,36,2021-04-11
"25 - 29",2,3,66,4,75,2021-04-11
"30 - 34",8,8,113,3,132,2021-04-11
"35 - 39",14,18,128,12,172,2021-04-11
"40 - 44",15,22,197,17,251,2021-04-11
"45 - 49",19,29,412,48,508,2021-04-11
"50 - 54",48,78,679,107,912,2021-04-11
"55 - 59",59,106,962,192,1319,2021-04-11
"60 - 64",68,122,1104,358,1652,2021-04-11
"65 - 69",92,163,1040,529,1824,2021-04-11
"70 - 74",73,146,950,790,1959,2021-04-11
"75 - 79",34,79,519,571,1203,2021-04-11
"80 - 84",10,7,120,208,345,2021-04-11
"85 - 89",2,1,15,33,51,2021-04-11
">90",1,0,3,2,6,2021-04-11
