"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,3,8,1,12,2020-10-26
"20 - 24",5,0,12,0,17,2020-10-26
"25 - 29",1,1,23,2,27,2020-10-26
"30 - 34",4,2,45,2,53,2020-10-26
"35 - 39",6,5,45,8,64,2020-10-26
"40 - 44",4,11,73,8,96,2020-10-26
"45 - 49",16,22,175,21,234,2020-10-26
"50 - 54",16,44,267,29,356,2020-10-26
"55 - 59",26,49,344,81,500,2020-10-26
"60 - 64",27,96,391,122,636,2020-10-26
"65 - 69",41,100,368,213,722,2020-10-26
"70 - 74",28,114,359,279,780,2020-10-26
"75 - 79",26,68,183,218,495,2020-10-26
"80 - 84",17,20,31,70,138,2020-10-26
"85 - 89",0,1,5,18,24,2020-10-26
">90",0,0,0,0,0,2020-10-26
