"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-07
"20 - 24",4,0,42,0,46,2021-06-07
"25 - 29",3,2,88,6,99,2021-06-07
"30 - 34",3,3,159,5,170,2021-06-07
"35 - 39",9,6,180,14,209,2021-06-07
"40 - 44",14,6,280,25,325,2021-06-07
"45 - 49",25,20,538,61,644,2021-06-07
"50 - 54",42,43,920,134,1139,2021-06-07
"55 - 59",55,63,1277,231,1626,2021-06-07
"60 - 64",44,43,1410,445,1942,2021-06-07
"65 - 69",61,78,1382,695,2216,2021-06-07
"70 - 74",58,64,1243,966,2331,2021-06-07
"75 - 79",18,17,630,675,1340,2021-06-07
"80 - 84",3,0,136,228,367,2021-06-07
"85 - 89",0,0,17,36,53,2021-06-07
">90",0,0,4,2,6,2021-06-07
