"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,17,2,21,2021-04-17
"20 - 24",2,0,35,0,37,2021-04-17
"25 - 29",4,2,69,4,79,2021-04-17
"30 - 34",12,7,116,4,139,2021-04-17
"35 - 39",18,12,133,13,176,2021-04-17
"40 - 44",17,17,205,20,259,2021-04-17
"45 - 49",24,33,422,50,529,2021-04-17
"50 - 54",51,83,707,110,951,2021-04-17
"55 - 59",74,117,980,197,1368,2021-04-17
"60 - 64",73,123,1132,376,1704,2021-04-17
"65 - 69",93,174,1073,551,1891,2021-04-17
"70 - 74",76,149,979,809,2013,2021-04-17
"75 - 79",34,72,535,585,1226,2021-04-17
"80 - 84",9,4,123,211,347,2021-04-17
"85 - 89",3,0,15,33,51,2021-04-17
">90",0,0,4,2,6,2021-04-17
