"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,19,3,23,2021-06-30
"20 - 24",3,1,45,0,49,2021-06-30
"25 - 29",0,0,94,6,100,2021-06-30
"30 - 34",1,2,164,6,173,2021-06-30
"35 - 39",4,3,190,14,211,2021-06-30
"40 - 44",6,5,294,26,331,2021-06-30
"45 - 49",8,9,570,65,652,2021-06-30
"50 - 54",25,14,976,140,1155,2021-06-30
"55 - 59",20,26,1351,246,1643,2021-06-30
"60 - 64",15,25,1464,449,1953,2021-06-30
"65 - 69",23,23,1462,713,2221,2021-06-30
"70 - 74",25,21,1300,986,2332,2021-06-30
"75 - 79",7,6,649,683,1345,2021-06-30
"80 - 84",0,1,139,228,368,2021-06-30
"85 - 89",0,0,17,37,54,2021-06-30
">90",0,0,4,2,6,2021-06-30
