"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,20,3,24,2021-07-06
"20 - 24",3,0,45,0,48,2021-07-06
"25 - 29",0,1,94,6,101,2021-07-06
"30 - 34",2,2,164,6,174,2021-07-06
"35 - 39",2,3,192,14,211,2021-07-06
"40 - 44",4,5,295,26,330,2021-07-06
"45 - 49",11,6,571,65,653,2021-07-06
"50 - 54",21,11,982,140,1154,2021-07-06
"55 - 59",22,19,1357,248,1646,2021-07-06
"60 - 64",11,19,1473,449,1952,2021-07-06
"65 - 69",17,21,1473,713,2224,2021-07-06
"70 - 74",21,15,1308,990,2334,2021-07-06
"75 - 79",9,3,649,683,1344,2021-07-06
"80 - 84",0,1,139,228,368,2021-07-06
"85 - 89",0,0,17,37,54,2021-07-06
">90",0,0,4,2,6,2021-07-06
