"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-11-24
"20 - 24",4,0,18,0,22,2020-11-24
"25 - 29",2,0,28,2,32,2020-11-24
"30 - 34",3,3,57,2,65,2020-11-24
"35 - 39",5,1,55,9,70,2020-11-24
"40 - 44",8,6,91,10,115,2020-11-24
"45 - 49",12,12,221,24,269,2020-11-24
"50 - 54",20,43,330,43,436,2020-11-24
"55 - 59",44,77,425,97,643,2020-11-24
"60 - 64",68,90,493,164,815,2020-11-24
"65 - 69",49,96,464,280,889,2020-11-24
"70 - 74",54,130,455,368,1007,2020-11-24
"75 - 79",35,65,233,304,637,2020-11-24
"80 - 84",17,14,52,114,197,2020-11-24
"85 - 89",2,2,6,19,29,2020-11-24
">90",0,0,1,3,4,2020-11-24
