"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,9,1,13,2021-01-07
"20 - 24",4,0,21,0,25,2021-01-07
"25 - 29",2,1,40,2,45,2021-01-07
"30 - 34",2,3,74,3,82,2021-01-07
"35 - 39",10,5,72,9,96,2021-01-07
"40 - 44",10,7,112,12,141,2021-01-07
"45 - 49",21,24,256,34,335,2021-01-07
"50 - 54",32,49,419,68,568,2021-01-07
"55 - 59",54,86,575,123,838,2021-01-07
"60 - 64",57,119,651,233,1060,2021-01-07
"65 - 69",68,140,603,359,1170,2021-01-07
"70 - 74",66,171,614,510,1361,2021-01-07
"75 - 79",41,88,314,406,849,2021-01-07
"80 - 84",10,13,79,153,255,2021-01-07
"85 - 89",1,1,11,28,41,2021-01-07
">90",0,0,2,2,4,2021-01-07
