"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,8,1,9,2020-08-12
"20 - 24",2,1,8,0,11,2020-08-12
"25 - 29",1,0,16,2,19,2020-08-12
"30 - 34",1,2,33,3,39,2020-08-12
"35 - 39",2,1,33,6,42,2020-08-12
"40 - 44",2,3,55,5,65,2020-08-12
"45 - 49",6,2,137,18,163,2020-08-12
"50 - 54",9,6,219,23,257,2020-08-12
"55 - 59",8,4,294,74,380,2020-08-12
"60 - 64",15,10,332,100,457,2020-08-12
"65 - 69",11,6,313,186,516,2020-08-12
"70 - 74",16,4,305,230,555,2020-08-12
"75 - 79",10,3,144,165,322,2020-08-12
"80 - 84",3,2,19,48,72,2020-08-12
"85 - 89",1,0,4,10,15,2020-08-12
">90",0,0,0,0,0,2020-08-12
