"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,8,1,9,2020-08-13
"20 - 24",2,1,8,0,11,2020-08-13
"25 - 29",0,0,17,2,19,2020-08-13
"30 - 34",1,1,33,3,38,2020-08-13
"35 - 39",2,1,33,6,42,2020-08-13
"40 - 44",2,1,55,5,63,2020-08-13
"45 - 49",6,4,137,18,165,2020-08-13
"50 - 54",9,6,219,23,257,2020-08-13
"55 - 59",9,5,294,74,382,2020-08-13
"60 - 64",15,12,332,100,459,2020-08-13
"65 - 69",11,8,313,186,518,2020-08-13
"70 - 74",17,5,305,230,557,2020-08-13
"75 - 79",10,6,144,165,325,2020-08-13
"80 - 84",4,2,19,48,73,2020-08-13
"85 - 89",1,0,4,10,15,2020-08-13
">90",0,0,0,0,0,2020-08-13
