"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,9,1,13,2021-01-05
"20 - 24",3,0,21,0,24,2021-01-05
"25 - 29",3,1,39,2,45,2021-01-05
"30 - 34",3,1,73,3,80,2021-01-05
"35 - 39",10,3,71,9,93,2021-01-05
"40 - 44",11,6,111,12,140,2021-01-05
"45 - 49",18,27,253,34,332,2021-01-05
"50 - 54",39,45,411,67,562,2021-01-05
"55 - 59",69,89,551,122,831,2021-01-05
"60 - 64",62,125,632,228,1047,2021-01-05
"65 - 69",69,145,593,354,1161,2021-01-05
"70 - 74",72,171,601,500,1344,2021-01-05
"75 - 79",46,92,304,398,840,2021-01-05
"80 - 84",11,14,77,151,253,2021-01-05
"85 - 89",2,3,9,28,42,2021-01-05
">90",0,0,2,2,4,2021-01-05
