"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-06
"20 - 24",2,1,37,0,40,2021-05-06
"25 - 29",2,4,77,5,88,2021-05-06
"30 - 34",11,10,133,4,158,2021-05-06
"35 - 39",20,9,151,13,193,2021-05-06
"40 - 44",18,18,236,22,294,2021-05-06
"45 - 49",41,43,456,52,592,2021-05-06
"50 - 54",51,72,798,123,1044,2021-05-06
"55 - 59",84,116,1089,211,1500,2021-05-06
"60 - 64",86,122,1235,411,1854,2021-05-06
"65 - 69",103,175,1205,620,2103,2021-05-06
"70 - 74",100,167,1076,882,2225,2021-05-06
"75 - 79",38,65,572,629,1304,2021-05-06
"80 - 84",6,4,130,219,359,2021-05-06
"85 - 89",1,0,16,35,52,2021-05-06
">90",0,0,4,2,6,2021-05-06
