"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,10,1,13,2020-12-07
"20 - 24",2,0,20,0,22,2020-12-07
"25 - 29",4,1,28,2,35,2020-12-07
"30 - 34",6,4,59,3,72,2020-12-07
"35 - 39",5,6,59,9,79,2020-12-07
"40 - 44",7,8,94,10,119,2020-12-07
"45 - 49",8,13,230,30,281,2020-12-07
"50 - 54",19,38,357,47,461,2020-12-07
"55 - 59",50,72,459,104,685,2020-12-07
"60 - 64",58,82,538,185,863,2020-12-07
"65 - 69",57,90,497,301,945,2020-12-07
"70 - 74",60,110,496,408,1074,2020-12-07
"75 - 79",36,53,254,333,676,2020-12-07
"80 - 84",18,11,56,128,213,2020-12-07
"85 - 89",2,2,6,21,31,2020-12-07
">90",0,0,1,3,4,2020-12-07
