"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-20
"20 - 24",2,2,7,0,11,2020-06-20
"25 - 29",4,0,11,2,17,2020-06-20
"30 - 34",8,0,24,3,35,2020-06-20
"35 - 39",4,1,30,6,41,2020-06-20
"40 - 44",3,5,47,4,59,2020-06-20
"45 - 49",17,1,123,20,161,2020-06-20
"50 - 54",42,5,186,23,256,2020-06-20
"55 - 59",48,12,241,75,376,2020-06-20
"60 - 64",60,7,282,100,449,2020-06-20
"65 - 69",37,19,273,180,509,2020-06-20
"70 - 74",56,16,260,224,556,2020-06-20
"75 - 79",30,16,115,162,323,2020-06-20
"80 - 84",3,1,17,42,63,2020-06-20
"85 - 89",2,0,4,9,15,2020-06-20
">90",0,0,0,0,0,2020-06-20
