"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-03-02
"20 - 24",3,0,29,0,32,2021-03-02
"25 - 29",3,2,52,3,60,2021-03-02
"30 - 34",5,3,90,3,101,2021-03-02
"35 - 39",5,8,94,11,118,2021-03-02
"40 - 44",8,11,150,16,185,2021-03-02
"45 - 49",19,27,340,43,429,2021-03-02
"50 - 54",34,42,559,91,726,2021-03-02
"55 - 59",54,77,780,162,1073,2021-03-02
"60 - 64",69,101,914,296,1380,2021-03-02
"65 - 69",71,101,855,467,1494,2021-03-02
"70 - 74",55,107,822,688,1672,2021-03-02
"75 - 79",31,53,439,500,1023,2021-03-02
"80 - 84",5,10,106,186,307,2021-03-02
"85 - 89",1,0,15,31,47,2021-03-02
">90",0,0,3,2,5,2021-03-02
