"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,20,3,24,2021-07-02
"20 - 24",3,1,45,0,49,2021-07-02
"25 - 29",0,0,94,6,100,2021-07-02
"30 - 34",2,1,164,6,173,2021-07-02
"35 - 39",2,3,192,14,211,2021-07-02
"40 - 44",5,6,294,26,331,2021-07-02
"45 - 49",11,6,570,65,652,2021-07-02
"50 - 54",24,11,979,140,1154,2021-07-02
"55 - 59",21,20,1356,247,1644,2021-07-02
"60 - 64",14,21,1469,449,1953,2021-07-02
"65 - 69",18,20,1471,713,2222,2021-07-02
"70 - 74",21,16,1306,989,2332,2021-07-02
"75 - 79",7,5,649,683,1344,2021-07-02
"80 - 84",0,1,139,228,368,2021-07-02
"85 - 89",0,0,17,37,54,2021-07-02
">90",0,0,4,2,6,2021-07-02
