"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,15,2,18,2021-03-10
"20 - 24",3,1,30,0,34,2021-03-10
"25 - 29",4,1,56,3,64,2021-03-10
"30 - 34",8,4,90,3,105,2021-03-10
"35 - 39",6,6,103,11,126,2021-03-10
"40 - 44",7,10,160,17,194,2021-03-10
"45 - 49",21,22,350,43,436,2021-03-10
"50 - 54",36,47,581,94,758,2021-03-10
"55 - 59",57,84,812,166,1119,2021-03-10
"60 - 64",65,120,950,306,1441,2021-03-10
"65 - 69",60,113,891,477,1541,2021-03-10
"70 - 74",59,108,847,705,1719,2021-03-10
"75 - 79",32,48,457,515,1052,2021-03-10
"80 - 84",10,10,107,190,317,2021-03-10
"85 - 89",1,0,15,31,47,2021-03-10
">90",0,0,3,2,5,2021-03-10
