"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-02-28
"20 - 24",2,1,29,0,32,2021-02-28
"25 - 29",3,2,52,3,60,2021-02-28
"30 - 34",6,3,88,3,100,2021-02-28
"35 - 39",5,8,92,11,116,2021-02-28
"40 - 44",7,11,148,16,182,2021-02-28
"45 - 49",17,25,338,43,423,2021-02-28
"50 - 54",32,43,553,89,717,2021-02-28
"55 - 59",56,72,772,159,1059,2021-02-28
"60 - 64",65,97,907,295,1364,2021-02-28
"65 - 69",65,99,845,466,1475,2021-02-28
"70 - 74",59,99,814,684,1656,2021-02-28
"75 - 79",30,55,434,497,1016,2021-02-28
"80 - 84",6,11,104,184,305,2021-02-28
"85 - 89",1,0,15,31,47,2021-02-28
">90",0,0,3,2,5,2021-02-28
