"urls","number","category","year","week"
"https://www.cbs.nl/nl-nl/nieuws/2020/22/sterfte-in-coronatijd","202022",TRUE,"2020","22"
"https://www.cbs.nl/nl-nl/nieuws/2020/22/sterfte-in-week-20-ook-onder-wlz-zorggebruikers-lager-dan-normaal","202022",TRUE,"2020","22"
"https://www.cbs.nl/nl-nl/nieuws/2020/34/iets-hogere-sterfte-in-warme-week","202034",TRUE,"2020","34"
"https://www.cbs.nl/nl-nl/nieuws/2020/35/tijdens-hittegolf-vooral-meer-sterfte-in-langdurige-zorg","202035",TRUE,"2020","35"
"https://www.cbs.nl/nl-nl/nieuws/2020/41/sterfte-neemt-opnieuw-toe","202041",TRUE,"2020","41"
"https://www.cbs.nl/nl-nl/nieuws/2020/42/sterfte-neemt-niet-verder-toe","202042",TRUE,"2020","42"
"https://www.cbs.nl/nl-nl/nieuws/2020/43/sterfte-neemt-toe-in-week-42","202043",TRUE,"2020","43"
"https://www.cbs.nl/nl-nl/nieuws/2020/44/sterfte-neemt-verder-toe-in-week-43","202044",TRUE,"2020","44"
"https://www.cbs.nl/nl-nl/nieuws/2020/45/sterfte-neemt-verder-toe-in-week-44","202045",TRUE,"2020","45"
"https://www.cbs.nl/nl-nl/nieuws/2020/46/sterfte-neemt-niet-verder-toe-in-week-45","202046",TRUE,"2020","46"
"https://www.cbs.nl/nl-nl/nieuws/2020/47/sterfte-in-week-46-nog-steeds-hoger-dan-verwacht","202047",TRUE,"2020","47"
"https://www.cbs.nl/nl-nl/nieuws/2020/48/minder-oversterfte-tijdens-tweede-golf-maar-na-9-weken-nog-steeds-hoog","202048",TRUE,"2020","48"
"https://www.cbs.nl/nl-nl/nieuws/2020/48/hoogste-coronasterfte-tijdens-de-eerste-golf-in-zuiden-van-nederland","202048",TRUE,"2020","48"
"https://www.cbs.nl/nl-nl/nieuws/2020/49/sterfte-in-week-48-toegenomen","202049",TRUE,"2020","49"
"https://www.cbs.nl/nl-nl/nieuws/2020/50/sterfte-in-week-49-nog-steeds-verhoogd","202050",TRUE,"2020","50"
"https://www.cbs.nl/nl-nl/nieuws/2020/51/sterfte-neemt-verder-toe-in-week-50","202051",TRUE,"2020","51"
"https://www.cbs.nl/nl-nl/nieuws/2020/53/bijna-4-duizend-mensen-overleden-in-week-51","202053",TRUE,"2020","53"
"https://www.cbs.nl/nl-nl/nieuws/2021/01/sterfte-in-week-52-bij-mensen-met-langdurige-zorg-verder-toegenomen","202101",TRUE,"2021","01"
"https://www.cbs.nl/nl-nl/nieuws/2021/01/bevolkingsgroei-in-2020-gehalveerd","202101",TRUE,"2021","01"
"https://www.cbs.nl/nl-nl/nieuws/2021/02/bijna-4-duizend-mensen-overleden-in-eerste-week-van-2021","202102",TRUE,"2021","02"
"https://www.cbs.nl/nl-nl/nieuws/2021/03/sterfte-iets-afgenomen-in-week-2-maar-nog-steeds-hoog","202103",TRUE,"2021","03"
"https://www.cbs.nl/nl-nl/nieuws/2021/04/sterfte-blijft-verhoogd-met-3-800-overledenen-in-week-3","202104",TRUE,"2021","04"
"https://www.cbs.nl/nl-nl/nieuws/2021/04/bijna-169-duizend-mensen-overleden-in-2020-10-procent-meer-dan-verwacht","202104",TRUE,"2021","04"
"https://www.cbs.nl/nl-nl/nieuws/2021/05/sterfte-iets-gedaald-in-week-4","202105",TRUE,"2021","05"
"https://www.cbs.nl/nl-nl/nieuws/2021/06/sterfte-verder-gedaald-in-week-5","202106",TRUE,"2021","06"
"https://www.cbs.nl/nl-nl/nieuws/2021/07/sterfte-verder-gedaald-aantal-sterfgevallen-in-week-6-op-verwacht-niveau","202107",TRUE,"2021","07"
"https://www.cbs.nl/nl-nl/nieuws/2021/08/sterfte-niet-verder-gedaald-in-week-7","202108",TRUE,"2021","08"
"https://www.cbs.nl/nl-nl/nieuws/2021/09/sterfte-lager-dan-verwacht-in-week-8","202109",TRUE,"2021","09"
"https://www.cbs.nl/nl-nl/nieuws/2021/10/daling-in-de-sterfte-zet-door-in-week-9","202110",TRUE,"2021","10"
"https://www.cbs.nl/nl-nl/nieuws/2021/11/in-week-10-ongeveer-evenveel-mensen-overleden-als-verwacht","202111",TRUE,"2021","11"
"https://www.cbs.nl/nl-nl/nieuws/2021/12/in-week-11-naar-schatting-3-100-mensen-overleden","202112",TRUE,"2021","12"
"https://www.cbs.nl/nl-nl/nieuws/2021/13/in-week-12-naar-schatting-3100-mensen-overleden","202113",TRUE,"2021","13"
"https://www.cbs.nl/nl-nl/nieuws/2021/15/sterfte-in-week-14-hoger-dan-verwacht","202115",TRUE,"2021","15"
"https://www.cbs.nl/nl-nl/nieuws/2021/16/oversterfte-bij-mensen-tot-80-jaar-in-week-15","202116",TRUE,"2021","16"
"https://www.cbs.nl/nl-nl/nieuws/2021/18/sterfte-in-week-17-hoger-dan-verwacht","202118",TRUE,"2021","18"
"https://www.cbs.nl/nl-nl/nieuws/2021/20/sterfte-in-week-19-licht-gedaald","202120",TRUE,"2021","20"
"https://www.cbs.nl/nl-nl/nieuws/2021/22/sterfte-vanaf-week-20-ook-bij-mensen-onder-de-80-gedaald","202122",TRUE,"2021","22"
"https://www.cbs.nl/nl-nl/nieuws/2021/23/in-week-22-opnieuw-oversterfte","202123",TRUE,"2021","23"
"https://www.cbs.nl/nl-nl/nieuws/2021/24/sterfte-in-week-23-gedaald","202124",TRUE,"2021","24"
"https://www.cbs.nl/nl-nl/nieuws/2021/25/sterfte-in-week-24-ongeveer-gelijk-gebleven","202125",TRUE,"2021","25"
