"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,12,137,123
1,7,30,361,172
2,19,35,238,119
3,16,29,245,115
4,22,18,211,90
5,13,29,231,70
6,5,25,248,78
7,12,21,246,88
8,13,15,236,87
9,22,15,229,62
10,13,19,200,79
11,6,21,155,73
12,8,12,179,65
13,9,10,158,72
14,4,15,158,81
15,8,9,104,77
16,7,4,106,56
17,4,7,82,64
18,3,7,73,77
19,8,11,63,81
20,8,8,58,69
21,3,1,59,54
22,3,9,57,50
23,4,6,54,44
24,1,9,50,54
25,5,9,59,40
26,0,11,52,42
27,5,8,42,30
28,5,14,48,32
29,1,6,49,31
30,4,7,49,20
31,4,1,49,16
32,5,13,42,19
33,3,3,35,16
34,2,2,43,14
35,0,3,34,18
36,1,2,33,18
37,2,5,29,16
38,2,5,36,9
39,1,2,34,4
40,1,4,28,13
41,1,7,33,5
42,3,4,42,7
43,2,1,36,11
44,5,2,19,6
45,0,4,18,5
46,2,3,28,3
47,1,2,22,4
48,4,3,25,5
49,1,1,17,3
50,3,1,23,5
51,1,3,12,3
52,4,3,14,4
53,2,0,17,4
54,2,3,12,2
55,0,4,14,2
56,1,6,11,4
57,2,0,7,1
58,0,2,8,2
59,2,0,7,0
60,0,NA,NA,NA
