"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,8,179,155
1,9,32,502,225
2,29,25,390,155
3,22,35,396,133
4,29,29,368,124
5,31,32,392,94
6,30,31,402,96
7,21,22,402,118
8,26,28,394,112
9,34,26,360,90
10,22,27,305,97
11,24,19,249,116
12,18,18,254,97
13,18,40,218,97
14,12,8,209,102
15,10,18,155,109
16,17,19,145,87
17,14,13,128,90
18,7,16,108,107
19,8,15,81,95
20,9,14,83,89
21,8,14,77,75
22,6,15,75,67
23,5,6,70,59
24,5,8,77,67
25,6,8,74,52
26,2,14,69,61
27,3,8,70,42
28,4,16,60,45
29,4,10,68,43
30,3,8,59,39
31,2,11,67,26
32,3,6,64,31
33,2,3,50,25
34,1,9,55,22
35,1,4,45,24
36,1,6,45,24
37,5,6,42,23
38,3,7,46,11
39,4,6,43,8
40,3,3,35,20
41,6,5,48,13
42,6,2,56,10
43,4,4,46,19
44,2,5,28,10
45,1,4,24,10
46,0,2,39,6
47,4,1,26,5
48,4,1,30,9
49,2,3,24,6
50,0,3,27,8
51,0,6,21,5
52,2,0,21,5
53,3,2,24,5
54,1,2,16,4
55,1,2,19,2
56,4,1,20,5
57,3,1,12,1
58,0,2,12,3
59,2,1,10,2
60,0,NA,NA,NA
