"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,1,191,161
2,11,5,543,235
3,9,3,429,162
4,16,4,441,137
5,14,1,413,129
6,10,5,448,96
7,12,3,457,96
8,7,3,455,122
9,9,5,449,114
10,6,3,396,98
11,3,1,349,101
12,8,2,290,121
13,3,3,289,103
14,3,3,244,103
15,3,2,223,108
16,5,6,182,110
17,2,1,169,92
18,3,3,143,96
19,4,7,119,113
20,3,2,96,101
21,2,4,101,100
22,2,5,93,79
23,8,1,83,73
24,3,5,82,65
25,2,5,87,74
26,1,6,80,59
27,1,4,75,68
28,2,4,77,47
29,2,4,74,48
30,4,1,76,48
31,1,4,68,43
32,1,5,71,33
33,2,6,67,35
34,2,6,57,29
35,2,5,61,30
36,7,3,49,29
37,1,3,52,30
38,5,5,48,26
39,5,3,48,16
40,2,7,48,8
41,6,4,46,24
42,0,5,57,15
43,1,6,61,11
44,1,3,53,21
45,7,1,32,11
46,1,2,25,11
47,3,6,43,9
48,2,2,30,5
49,1,3,35,9
50,5,6,26,6
51,2,3,32,7
52,2,5,24,6
53,0,2,23,7
54,2,0,24,7
55,1,1,17,5
56,1,0,24,4
57,1,2,25,5
58,1,0,13,1
59,3,0,13,4
60,1,2,11,3
