"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,0,187,158
1,9,12,527,234
2,20,6,416,159
3,13,15,424,136
4,27,11,398,127
5,18,8,430,96
6,19,11,435,96
7,22,18,433,121
8,19,16,428,113
9,22,13,384,94
10,11,9,336,99
11,12,11,272,121
12,18,8,273,100
13,12,13,231,100
14,6,15,218,105
15,5,17,173,109
16,9,11,160,92
17,7,7,135,95
18,8,8,112,113
19,7,13,93,99
20,3,11,91,97
21,8,10,87,77
22,4,10,78,68
23,7,5,77,60
24,3,15,82,72
25,5,11,76,57
26,3,13,72,64
27,3,9,72,47
28,5,7,66,47
29,5,15,72,46
30,2,4,64,41
31,4,9,69,33
32,2,9,66,33
33,2,5,49,27
34,7,7,59,26
35,5,8,46,28
36,2,5,50,28
37,2,4,43,23
38,4,5,48,15
39,1,5,47,8
40,0,1,40,23
41,6,0,53,15
42,2,7,57,10
43,2,4,49,20
44,3,6,29,10
45,3,4,25,10
46,0,5,42,8
47,2,4,29,5
48,2,3,33,8
49,2,0,24,6
50,2,4,28,7
51,2,2,23,6
52,1,1,23,6
53,0,5,24,6
54,1,1,17,4
55,0,5,23,2
56,2,2,23,5
57,1,4,12,1
58,1,2,13,3
59,1,2,10,2
60,1,NA,NA,NA
