"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,15,176,152
1,11,41,486,216
2,33,38,370,148
3,24,62,378,131
4,25,31,344,121
5,34,38,358,90
6,34,46,372,96
7,32,36,378,114
8,31,37,373,107
9,33,37,345,85
10,21,23,286,96
11,17,29,228,111
12,23,29,240,90
13,18,15,204,93
14,18,16,202,98
15,8,18,145,104
16,16,19,140,85
17,11,14,119,86
18,6,17,103,101
19,8,13,77,92
20,7,18,78,85
21,5,14,77,72
22,4,9,72,65
23,7,10,64,57
24,7,15,71,64
25,8,11,71,50
26,3,7,64,58
27,8,10,65,40
28,6,12,60,42
29,2,12,63,42
30,5,6,58,36
31,1,5,63,25
32,4,5,61,30
33,3,6,47,24
34,2,10,53,20
35,2,9,43,24
36,1,6,42,24
37,5,2,39,22
38,3,5,44,12
39,3,4,42,7
40,2,7,35,20
41,3,8,46,11
42,4,0,53,10
43,4,3,45,17
44,2,2,27,9
45,2,2,24,10
46,0,3,37,6
47,5,3,26,5
48,3,6,29,6
49,2,1,24,6
50,0,2,27,8
51,0,1,21,5
52,1,5,20,5
53,2,1,23,5
54,1,0,15,4
55,2,0,19,2
56,3,0,18,5
57,2,1,12,1
58,0,0,12,3
59,0,0,10,2
60,0,NA,NA,NA
