"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,12,141,125
1,7,34,387,182
2,21,42,264,124
3,18,33,268,118
4,22,31,233,97
5,24,27,251,71
6,12,29,265,80
7,11,24,275,95
8,15,21,257,91
9,25,26,245,64
10,17,24,208,80
11,8,11,167,76
12,12,12,189,70
13,14,21,165,77
14,5,15,172,82
15,8,9,113,78
16,4,5,110,64
17,5,12,88,69
18,7,8,78,79
19,9,11,66,81
20,3,4,62,70
21,3,7,62,57
22,4,9,57,54
23,4,10,58,44
24,2,6,55,53
25,3,8,60,41
26,3,8,53,42
27,6,7,46,30
28,5,3,49,34
29,1,1,53,33
30,2,9,54,23
31,2,3,54,18
32,2,1,45,22
33,3,4,37,17
34,7,1,44,16
35,1,5,35,17
36,5,4,32,19
37,2,1,30,18
38,4,4,38,10
39,0,2,35,4
40,0,7,29,14
41,4,4,34,6
42,4,4,45,9
43,3,5,39,14
44,4,6,20,7
45,1,1,21,5
46,1,3,31,4
47,1,0,23,5
48,4,3,25,5
49,2,2,19,3
50,3,2,24,5
51,1,0,14,4
52,2,1,15,4
53,3,2,21,5
54,1,3,12,2
55,2,1,15,2
56,1,0,14,4
57,1,4,8,1
58,0,1,9,3
59,0,0,8,0
60,2,NA,NA,NA
